Experiment: 1,    Subject: 1 
AngleDiff   Noise  RefAngle   SubjDecision  SubjEstimate  Feedback   TrialOrder 
   -15        3      33.33         -1         51.69400         -1        492 
   -15        3      36.67         -1         54.17286         -1        898 
   -15        3      40.00         -1         55.43861         -1       1617 
   -15        3      43.33         -1         58.46227         -1         68 
   -15        3      46.67         -1         62.77966         -1        901 
   -15        3      50.00         -1         66.14457         -1        377 
   -15        3      53.33         -1         74.44217         -1        588 
   -15        3      56.67         -1         71.43034         -1        520 
   -15        3      60.00         -1         76.54779         -1       1644 
   -15        3      63.33         -1         78.25964         -1       1202 
   -15        3      66.67         -1         87.97954         -1         51 
   -15        3      70.00         -1         87.08248         -1       1313 
   -15        3      73.33         -1         87.08248         -1       1024 
   -15        3      76.67         -1         90.22556         -1       1604 
   -15        3      80.00         -1         94.70865         -1        461 
   -15        3      83.33         -1        100.00868         -1        193 
   -15        3      86.67         -1        100.87787         -1        660 
   -15        3      90.00         -1        105.97564         -1        228 
   -15        3      93.33         -1        111.91984         -1        135 
   -15        3      96.67         -1        112.47311         -1        441 
   -15        3     100.00         -1        115.14518         -1       1027 
   -15        3     103.33         -1        123.51364         -1       1528 
   -15        3     106.67         -1        127.76323         -1        777 
   -15        3     110.00         -1        123.15816         -1        863 
   -15        3     113.33         -1        124.10333         -1         54 
   -15        3     116.67         -1        130.16120         -1        503 
   -15        3     120.00         -1        141.10456         -1        498 
   -15        3     123.33         -1        142.99982         -1        183 
   -15        3     126.67         -1        149.32865         -1       1390 
   -15        3     130.00         -1        138.02864         -1        798 
   -15        3     133.33         -1        147.07359         -1        225 
   -15        3     136.67         -1        151.96580         -1        710 
   -15        3     140.00         -1        154.31898         -1       1529 
   -15        3     143.33         -1        154.31898         -1        271 
   -15        3     146.67         -1        163.60989         -1        915 
   -15        3     150.00         -1        166.54614         -1        853 
   -15        3     153.33         -1        166.54614         -1       1105 
   -15        3     156.67         -1        164.85842         -1        178 
   -15        3     160.00         -1        169.55612         -1       1641 
   -15        3     163.33         -1        175.29135         -1       1457 
   -15        3     166.67         -1          0.22381         -1        165 
   -15        3     170.00         -1          1.57153         -1       1073 
   -15        3     173.33         -1          3.36554         -1         78 
   -15        3     176.67         -1          7.37280         -1       1145 
   -15        3     180.00         -1         12.59914         -1       1171 
   -15       18       0.00         -1          2.46914         -1        352 
   -15       18       3.33         -1         17.21214         -1        849 
   -15       18       6.67         -1         18.56966         -1       1494 
   -15       18      10.00         -1         16.38850         -1        895 
   -15       18      13.33         -1         27.62662         -1        464 
   -15       18      16.67         -1         22.40256         -1       1185 
   -15       18      20.00         -1         30.89429         -1        445 
   -15       18      23.33         -1         35.58695         -1       1568 
   -15       18      26.67         -1         43.25662         -1       1460 
   -15       18      30.00         -1         41.16747         -1       1182 
   -15       18      33.33         -1         45.89633         -1       1265 
   -15       18      36.67          1         40.26207         -1       1618 
   -15       18      40.00         -1         50.22177         -1        578 
   -15       18      43.33         -1         52.34414         -1        358 
   -15       18      46.67         -1         56.72074         -1       1317 
   -15       18      50.00          1         53.59026         -1        415 
   -15       18      53.33         -1         67.68986         -1        679 
   -15       18      56.67         -1         66.91277         -1       1338 
   -15       18      60.00         -1         69.42020         -1         71 
   -15       18      63.33         -1         79.99302         -1       1318 
   -15       18      66.67         -1         79.99302         -1        799 
   -15       18      70.00         -1         81.74509         -1       1116 
   -15       18      73.33         -1         85.73971         -1          1 
   -15       18      76.67         -1         92.02221         -1       1447 
   -15       18      80.00         -1         90.22556         -1        615 
   -15       18      83.33         -1         89.77619         -1         17 
   -15       18      86.67         -1        101.74203         -1        604 
   -15       18      90.00         -1        106.39011         -1        331 
   -15       18      93.33         -1        114.58402         -1       1009 
   -15       18      96.67         -1        108.16330         -1        197 
   -15       18     100.00         -1        112.86495         -1        611 
   -15       18     103.33         -1        121.84656         -1       1425 
   -15       18     106.67          1        114.93980         -1       1620 
   -15       18     110.00         -1        118.18564         -1        326 
   -15       18     113.33         -1        132.89010         -1        780 
   -15       18     116.67         -1        132.28807         -1        417 
